lock_key	name	version	is_direct_name	owner_count	owners	owner_groups	action
@esbuild/aix-ppc64@0.27.7	@esbuild/aix-ppc64	0.27.7	false	2	tsx,vitest	dev	removed-with-js-toolchain
@esbuild/android-arm64@0.27.7	@esbuild/android-arm64	0.27.7	false	2	tsx,vitest	dev	removed-with-js-toolchain
@esbuild/android-arm@0.27.7	@esbuild/android-arm	0.27.7	false	2	tsx,vitest	dev	removed-with-js-toolchain
@esbuild/android-x64@0.27.7	@esbuild/android-x64	0.27.7	false	2	tsx,vitest	dev	removed-with-js-toolchain
@esbuild/darwin-arm64@0.27.7	@esbuild/darwin-arm64	0.27.7	false	2	tsx,vitest	dev	removed-with-js-toolchain
@esbuild/darwin-x64@0.27.7	@esbuild/darwin-x64	0.27.7	false	2	tsx,vitest	dev	removed-with-js-toolchain
@esbuild/freebsd-arm64@0.27.7	@esbuild/freebsd-arm64	0.27.7	false	2	tsx,vitest	dev	removed-with-js-toolchain
@esbuild/freebsd-x64@0.27.7	@esbuild/freebsd-x64	0.27.7	false	2	tsx,vitest	dev	removed-with-js-toolchain
@esbuild/linux-arm64@0.27.7	@esbuild/linux-arm64	0.27.7	false	2	tsx,vitest	dev	removed-with-js-toolchain
@esbuild/linux-arm@0.27.7	@esbuild/linux-arm	0.27.7	false	2	tsx,vitest	dev	removed-with-js-toolchain
@esbuild/linux-ia32@0.27.7	@esbuild/linux-ia32	0.27.7	false	2	tsx,vitest	dev	removed-with-js-toolchain
@esbuild/linux-loong64@0.27.7	@esbuild/linux-loong64	0.27.7	false	2	tsx,vitest	dev	removed-with-js-toolchain
@esbuild/linux-mips64el@0.27.7	@esbuild/linux-mips64el	0.27.7	false	2	tsx,vitest	dev	removed-with-js-toolchain
@esbuild/linux-ppc64@0.27.7	@esbuild/linux-ppc64	0.27.7	false	2	tsx,vitest	dev	removed-with-js-toolchain
@esbuild/linux-riscv64@0.27.7	@esbuild/linux-riscv64	0.27.7	false	2	tsx,vitest	dev	removed-with-js-toolchain
@esbuild/linux-s390x@0.27.7	@esbuild/linux-s390x	0.27.7	false	2	tsx,vitest	dev	removed-with-js-toolchain
@esbuild/linux-x64@0.27.7	@esbuild/linux-x64	0.27.7	false	2	tsx,vitest	dev	removed-with-js-toolchain
@esbuild/netbsd-arm64@0.27.7	@esbuild/netbsd-arm64	0.27.7	false	2	tsx,vitest	dev	removed-with-js-toolchain
@esbuild/netbsd-x64@0.27.7	@esbuild/netbsd-x64	0.27.7	false	2	tsx,vitest	dev	removed-with-js-toolchain
@esbuild/openbsd-arm64@0.27.7	@esbuild/openbsd-arm64	0.27.7	false	2	tsx,vitest	dev	removed-with-js-toolchain
@esbuild/openbsd-x64@0.27.7	@esbuild/openbsd-x64	0.27.7	false	2	tsx,vitest	dev	removed-with-js-toolchain
@esbuild/openharmony-arm64@0.27.7	@esbuild/openharmony-arm64	0.27.7	false	2	tsx,vitest	dev	removed-with-js-toolchain
@esbuild/sunos-x64@0.27.7	@esbuild/sunos-x64	0.27.7	false	2	tsx,vitest	dev	removed-with-js-toolchain
@esbuild/win32-arm64@0.27.7	@esbuild/win32-arm64	0.27.7	false	2	tsx,vitest	dev	removed-with-js-toolchain
@esbuild/win32-ia32@0.27.7	@esbuild/win32-ia32	0.27.7	false	2	tsx,vitest	dev	removed-with-js-toolchain
@esbuild/win32-x64@0.27.7	@esbuild/win32-x64	0.27.7	false	2	tsx,vitest	dev	removed-with-js-toolchain
@hono/node-server@1.19.13(hono@4.12.12)	@hono/node-server	1.19.13(hono@4.12.12)	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
@huggingface/jinja@0.5.6	@huggingface/jinja	0.5.6	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
@isaacs/fs-minipass@4.0.1	@isaacs/fs-minipass	4.0.1	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
@jridgewell/sourcemap-codec@1.5.5	@jridgewell/sourcemap-codec	1.5.5	false	1	vitest	dev	removed-with-js-toolchain
@kwsites/file-exists@1.1.1	@kwsites/file-exists	1.1.1	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
@kwsites/promise-deferred@1.1.1	@kwsites/promise-deferred	1.1.1	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
@modelcontextprotocol/sdk@1.29.0(zod@4.2.1)	@modelcontextprotocol/sdk	1.29.0(zod@4.2.1)	true	1	@modelcontextprotocol/sdk	runtime	covered-in-direct-plan
