lock_key	name	version	is_direct_name	owner_count	owners	owner_groups	action
@babel/generator@8.0.0-beta.4	@babel/generator	8.0.0-beta.4	false	1	tsdown	package-dev	removed-with-js-toolchain
@babel/helper-string-parser@7.27.1	@babel/helper-string-parser	7.27.1	false	1	@vitest/coverage-v8	package-dev	removed-with-js-toolchain
@babel/helper-string-parser@8.0.0-beta.4	@babel/helper-string-parser	8.0.0-beta.4	false	1	tsdown	package-dev	removed-with-js-toolchain
@babel/helper-validator-identifier@7.28.5	@babel/helper-validator-identifier	7.28.5	false	1	@vitest/coverage-v8	package-dev	removed-with-js-toolchain
@babel/helper-validator-identifier@8.0.0-beta.4	@babel/helper-validator-identifier	8.0.0-beta.4	false	1	tsdown	package-dev	removed-with-js-toolchain
@babel/parser@7.29.0	@babel/parser	7.29.0	false	1	@vitest/coverage-v8	package-dev	removed-with-js-toolchain
@babel/parser@8.0.0-beta.4	@babel/parser	8.0.0-beta.4	false	1	tsdown	package-dev	removed-with-js-toolchain
@babel/types@7.29.0	@babel/types	7.29.0	false	1	@vitest/coverage-v8	package-dev	removed-with-js-toolchain
@babel/types@8.0.0-beta.4	@babel/types	8.0.0-beta.4	false	1	tsdown	package-dev	removed-with-js-toolchain
@bcoe/v8-coverage@1.0.2	@bcoe/v8-coverage	1.0.2	false	3	@vitest/coverage-v8,c8,tryscript	package-dev	removed-with-js-toolchain
@colors/colors@1.5.0	@colors/colors	1.5.0	false	1	marked-terminal	runtime	replace-through-runtime-owner
@emnapi/core@1.8.1	@emnapi/core	1.8.1	false	1	tsdown	package-dev	removed-with-js-toolchain
@emnapi/runtime@1.8.1	@emnapi/runtime	1.8.1	false	1	tsdown	package-dev	removed-with-js-toolchain
@emnapi/wasi-threads@1.1.0	@emnapi/wasi-threads	1.1.0	false	1	tsdown	package-dev	removed-with-js-toolchain
@esbuild/aix-ppc64@0.27.2	@esbuild/aix-ppc64	0.27.2	false	3	@vitest/coverage-v8,tsx,vitest	package-dev,workspace-dev	removed-with-js-toolchain
@esbuild/android-arm64@0.27.2	@esbuild/android-arm64	0.27.2	false	3	@vitest/coverage-v8,tsx,vitest	package-dev,workspace-dev	removed-with-js-toolchain
@esbuild/android-arm@0.27.2	@esbuild/android-arm	0.27.2	false	3	@vitest/coverage-v8,tsx,vitest	package-dev,workspace-dev	removed-with-js-toolchain
@esbuild/android-x64@0.27.2	@esbuild/android-x64	0.27.2	false	3	@vitest/coverage-v8,tsx,vitest	package-dev,workspace-dev	removed-with-js-toolchain
@esbuild/darwin-arm64@0.27.2	@esbuild/darwin-arm64	0.27.2	false	3	@vitest/coverage-v8,tsx,vitest	package-dev,workspace-dev	removed-with-js-toolchain
@esbuild/darwin-x64@0.27.2	@esbuild/darwin-x64	0.27.2	false	3	@vitest/coverage-v8,tsx,vitest	package-dev,workspace-dev	removed-with-js-toolchain
@esbuild/freebsd-arm64@0.27.2	@esbuild/freebsd-arm64	0.27.2	false	3	@vitest/coverage-v8,tsx,vitest	package-dev,workspace-dev	removed-with-js-toolchain
@esbuild/freebsd-x64@0.27.2	@esbuild/freebsd-x64	0.27.2	false	3	@vitest/coverage-v8,tsx,vitest	package-dev,workspace-dev	removed-with-js-toolchain
@esbuild/linux-arm64@0.27.2	@esbuild/linux-arm64	0.27.2	false	3	@vitest/coverage-v8,tsx,vitest	package-dev,workspace-dev	removed-with-js-toolchain
@esbuild/linux-arm@0.27.2	@esbuild/linux-arm	0.27.2	false	3	@vitest/coverage-v8,tsx,vitest	package-dev,workspace-dev	removed-with-js-toolchain
@esbuild/linux-ia32@0.27.2	@esbuild/linux-ia32	0.27.2	false	3	@vitest/coverage-v8,tsx,vitest	package-dev,workspace-dev	removed-with-js-toolchain
@esbuild/linux-loong64@0.27.2	@esbuild/linux-loong64	0.27.2	false	3	@vitest/coverage-v8,tsx,vitest	package-dev,workspace-dev	removed-with-js-toolchain
@esbuild/linux-mips64el@0.27.2	@esbuild/linux-mips64el	0.27.2	false	3	@vitest/coverage-v8,tsx,vitest	package-dev,workspace-dev	removed-with-js-toolchain
@esbuild/linux-ppc64@0.27.2	@esbuild/linux-ppc64	0.27.2	false	3	@vitest/coverage-v8,tsx,vitest	package-dev,workspace-dev	removed-with-js-toolchain
@esbuild/linux-riscv64@0.27.2	@esbuild/linux-riscv64	0.27.2	false	3	@vitest/coverage-v8,tsx,vitest	package-dev,workspace-dev	removed-with-js-toolchain
@esbuild/linux-s390x@0.27.2	@esbuild/linux-s390x	0.27.2	false	3	@vitest/coverage-v8,tsx,vitest	package-dev,workspace-dev	removed-with-js-toolchain
